aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Benjamin S,"Major missed opportunity not getting Rick Moranis to play older scientist mentor guy, but still good. There's a lot of comic book movies now, and most of them seem to have given up on the basic idea that super powers can be fun and interesting in favor of a lot of punching. Ant-Man nails this, though, and keeps pretty decent humor throughout.",1-May-22,3,0.019,0.603,0.378,0.9844,,,,0.5,7.31%,355
Clyde N,I really liked it and idk why,1-May-22,3,0.165,0.471,0.364,0.4005,,,,1,3.01%,146
Wyatt G,"This is a fun heist movie that is non-stop hilarious and entertaining. Everything from the cast to the suit design and narrative, making Hank Pym older than the rest of the Avengers characters, works very well. Unfortunately it is held back just a little by the lackluster villain.",1-May-22,3,0.109,0.695,0.196,0.6142,,,,1.5,4.69%,228
Nathan M,not funny or even decent but the action is serviceable 3/10,27-Apr-22,3,0.146,0.854,0,-0.1786,,,,2,2.61%,127
Jake M,honestly its great. just the final fight felt a bit rushed,25-Apr-22,3,0.156,0.419,0.425,0.6705,,,,2.5,5.27%,256
Stephen C,"Very funny movie, ant man satisfied me.",25-Apr-22,3,0,0.455,0.545,0.7178,,,,3,9.14%,444
Ethan V,"The best humor by Paul Rudd, the star of This Is 40!!!!!!!!!!!!!!!!",9-Apr-22,3,0,0.572,0.428,0.816,,,,3.5,14.59%,709
Jordan J,"Good movie, worth a watch.",2-Apr-22,3,0,0.294,0.706,0.5859,,,,4,16.06%,780
Patricia O,Funny Performance by Paul Rudd. Ant-Man has a funny storyline that create a funny character and never falls off story or character development.,2-Apr-22,3,0,0.612,0.388,0.8689,,,,4.5,15.97%,776
Alex W,"This movie is classic Marvel fun. It's exciting and funny. Is it the greatest film ever? No, but I really enjoy it. Review - Good",14-Mar-22,4.5,0.046,0.457,0.497,0.9412,,,,5,21.35%,1037
Aaron,this movie had me reeling. i cant wait for endgame!,18-Nov-21,5,0,1,0,0,,,,,1,4858
Ryan D,"B ~ A fun, harmless Marvel movie that uses it's wackiness to it's benefit. Paul Rudd is pretty funny and I enjoyed how small scale the actual story was (pun intended). A very inoffensive movie that's not exactly breaking any new ground.",3-Mar-22,4.5,0,0.637,0.363,0.9493,,,,,,
Ben N,I like this movie. An entertaining movie with a bad villain and some weak characterization.,3-Mar-22,4.5,0.427,0.342,0.231,-0.6808,,,,,,
Kartikey G,"This is a fun Marvel movie, almost up to the level of the first Guardians of the Galaxy film. I love Paul Rudd and he does a terrific job making his character relatable, and punching up the humor in the otherwise over serious plot. Some aspects are a bit silly, like all MCU movies. And some plot points are treated with heavy generic score like we were watching hybrid of a period drama and a summer blockbuster. This gets even more off the rails in the next Ant-Man, but for the most part this one manages to return to the focal points of the story with the Pym particle and the suits. It's crazy that just by blowing shit up or sucking it into a vanishingly small dimension that somehow this technology has been contained to only the ""good guys"". That said, very entertaining, and I'd watch it again.",2-Mar-22,4.5,0.057,0.798,0.145,0.8844,,,,,,
Mikey D,You can see the director vision and MCU vision clashing in the movie still saved by the studio Movie should have been more directed towards objective and world building should more open interpret,28-Feb-22,4.5,0,0.815,0.185,0.7003,,,,,,
Aaron A,Paul Rudd+Antman=Diversión pura,14-Feb-21,5,0,1,0,0,,,,,,
Gage W,"One of the Best Marvel Movies with some great new characters,",22-Feb-22,4.5,0,0.52,0.48,0.8519,,,,,,
Tyler W,"Not at all a must see, but if you are into the MCU (like me) then this shall be a fun, family-friendly MCU movie.",9-Feb-22,4.5,0,0.825,0.175,0.6652,,,,,,
